ScrapingTime,EventID,EventTitle,EventAttendees,EventDate,EventURL,EventShortDesc
Thu Jul 22 06:07:21 2021,6806529649414328320,TLC TV Episode 3: Reimagining the Customer Experience,143,"Today, 5:00 PM BST",https://www.linkedin.com/events/6806529649414328320/,"Episode 3 of TLC TV will be looking at how we can reimagine the customer experience to deliver business value and realise results. We'll be joined by a panel of experts along with TLC TV partner Five9, to discuss: • How the contact centre has become the front door of the business. • How CX leaders can add value to every customer touchpoint. • How the latest innovations in AI & Automation are enabling CX leaders to reduce costs, improve the agent experience and provide a more human CX. • Why cloud is now a mandate to digitally transform your customer experiences Guests: * Brian Atkinson, Vice President / General Manager, Five9 * Kelly Lickley, Global Director of Product Strategy, Study Group * Dionne Lowndes, Chief Digital & Technology Officer, Southwark Council * Mark Simmons, Comedian"
Thu Jul 22 06:07:21 2021,6806332105354711040,International Customer Experience Management Summit Online | Istanbul 2021 ,384,"Wed, Aug 11 - Thu, Aug 12",https://www.linkedin.com/events/6806332105354711040/,"Customer Experience has never been more important. The Covid-19 pandemic, social distancing and lockdowns brought a sudden channel shift to digital self-service and remote channels as well as the need for greater remote working and consideration for customer and employee wellbeing. Mobilizing sudden, rapid transformational change has required new innovative approaches and for the whole organization to align its resources, strategy, and culture around the customer. The future success of each business will depend on its ability to adjust itsto the new realities and expectations of customers as we move to a post-Covid world. We hope you will join me at this important conference as we explore the success, challenges and lessons learnt by some of the industry leaders defining the future of Customer Experience. Topics at Glance | 11th & 12th Aug 2021 Section I: Best-in-class Customer and Agent Engagement A holistic view of employee experience How to keep customer service agents efficient and effective. Prioritizing your team and staying in touch with employee morale Happy agents = Happy customers Section II: Omnichannel Communication is the key How to deliver seamless Omni Channelon a Global Scale Measure what, understand how – the CX complexity in fintech / digital omnichannel world Driving an Omni-Channel Experience. Section III: Digital Humans & Transformation Engaging with today's Digital Customer to be the disruptor, not the disrupted.in the AI-first world. Digital humans are the future of engagement. Digitalization replaces physical interactions Section IV: Customer Journey Mapping Customer Journey Framework, Customer Personas. Creating Value Through Transforming Customer Journey. Customer Advocacy and Redesigning Customer Journeys. How to Design an Effective Customer Journey Map to Personalize CX For Businesses. Synthesizing data from multiple touchpoints to re-engineer the customer journey. Section V:Designing and Process End-to-EndDesign as the backbone for a successful business strategy. The Basic Human Needs System as a grounded methodology for Customer and Employees Experience Design. How to secure a long-term(CEx) focus on your organization? Section VI: A Customer-first approach for unprecedented times Six ways to focus on customer centricity during the coronavirus. An Agile approach to customer-centricity is more important than ever. How to be Customer-Centric and increase company revenue during a Pandemic Success stories and examples. Section VII:Excellence From touchpoints to journeys: Seeing the world as customers do How channels, devices and touchpoints impact the customer journey and engagement ecosystem Going beyond operational metrics to deliver ‘moments of magic Section IX: What lies Ahead forin 2021? The future of Customer Experience. The future of CX in Banking, Financial Services & Insurance, telecom according to research. What's next for Customer Experience? Upgrade your Customer Experience: A cross-industry perspective. Case Study I: CX in Practice: What Worked, What Failed? Case Study II: Covid 19 and how that has redefined the customer engagement Case Study III: Greater focus on the importance of Agent Experience (AX) Case Study IV: Improving digital customer experiences - How to reducing costs and enhancing employee happiness with a Design System Case Study: V The pandemic - how it changed the needs of clients overnight Case Study: VI What Covid-19 has taught telecom companies | challenges and success stories Case Study: VII Post-Covid Digital Strategy Case Study: VIII Customer feedback system, makes us better! Case Study: IXmyths and dogmas Case Study: X Turning Customer Data into Customer Success"
Thu Jul 22 06:07:21 2021,6805804145388470272,Balancing Regulatory Drivers and Customer Experience in Financial Instn,69,"Today, 11:00 AM CST",https://www.linkedin.com/events/6805804145388470272/,"Asian Banking & Finance, in partnership with LexisNexis Risk Solutions, is proud to present the Balancing Regulatory Drivers and Customer Experience in Financial Institutions webinar. The 70-minute virtual event will feature timely and invaluable insights on what strategies banks and financial institutions can deploy in order to properly protect customers’ data against fraud. Hong Kong is a resilient international financial center which also serves as a gateway to Mainland China. Also, it is a sector of strategic focus that the Government of the Hong Kong Special Administrative Region is investing lots of resources to foster the growth of its ecosystem. At the same time, customers are becoming more inclined to mobile-first and feature-rich banking solutions and seem to trust them more and more every day. Expectations for improved Fintech experiences rise, and new business models emerge in response. They affect all areas of the financial services industry, leaving chances only to those assuring the most convenient and seamlesswhile balancing the risk of fraud. Organizations need a customer authentication solution which can correlate and consolidate the physical, digital, device, biometrics and behavioral attributes that encompass an identity and connect FinTech business to predictive fraud analytics and actionable risk decision making intelligence. Don't miss your chance to be part of the webinar. Slots are limited, register now!"
Thu Jul 22 06:07:21 2021,6800077744605536256,Future of Digital Customer Experience 2.0 ,351,"Thu, Aug 12, 7:30 PM IST",https://www.linkedin.com/events/6800077744605536256/,"Group Futurista presents, yet another knowledgeable webinar on ""The Future of Digital Customer Experience"". This webinar has numerous revolutionary keynotes, case studies, and panels. It brings together experts from the field of Technology, Marketing, Automation, AI, Innovation, and various Services to discuss how Digital Transformation is impacting the Future of Customer Experience. A one of a kind webinar that sets a benchmark, one can gain subject matter expertise & business intelligence by collaborating with Industry Leaders from the field of Engineering, Retail, Technology, Big Data, Digitalisation, Information Security, and more! Customer Oriented Approach 'Customer First' is a strategy being adopted by many organizations today, and the change for digital transformation stems from the need to deliver an unrivaled customer experience. As per the research from IDC, the net global spending on digital transformation is expected to rise more than a whopping $2 trillion by 2022. Giving rise to modern buyers who are more adaptable to digital technologies, theis at the forefront of how customers rate the brands. This makes it imperative for businesses to implement an agile and flexible IT environment to deliver a consistent experience. Shift to Personalized Experience According to a report by Internet Retailing, 69% of customers need a personalized experience whereas less than 50% of brands can deliver the same. The need to become proactive in utilizing customer data is becoming the need of the hour for businesses to render a personalized Customer Experience. With the IoT availability throughout devices, brands can leverage this data to know more about customer preference and conduct behavioral analytics to cater to a more tailored experience. Omnichannel Delivery of Services The most significant change in the digital landscape remains the need to enhance thethroughout all the channels and 24/7 in a week. Therefore organizations are tying up all the loose ends through CMS and IoT services along with other frameworks to stay ahead in the game. In the future, it will become extremely significant to develop digital customer profiles through the deployment of Customer Identity Access Management (CIAM) systems to keep track of customer interactions with the brand."
Thu Jul 22 06:07:21 2021,6813838104936497152,Building a Customer Experience Function at Bynder,49,"Today, 4:00 PM CEST",https://www.linkedin.com/events/6813838104936497152/,"In an 30-minute Lunch Talk, Grace Sherman, Senior Director of Customer Experience, will talk about the business triggers for developing CX as its own functional area. Grace will cover what it was like pitching the idea to the organisation and results obtained so far. She will also dive into some considerations for a CX strategy and roadmap.‍ If you... - Are interested in understanding the process of implementing a CX function in an organisation? - Are keen to learn more about preparing its people for substantial change? - Have burning questions for Grace Sherman?‍ Then you can't miss this session! Save your spot now."
Thu Jul 22 06:07:21 2021,6821543110191976448,Improve Your Customer Experience Through Web Accessibility and Inclusion,23,"Wed, Jul 28, 1:00 PM EDT",https://www.linkedin.com/events/6821543110191976448/,"There are 1B+ websites in the world today and yet less than 2% are accessible to people with disabilities. An inaccessible website leads to poor user experience and loss of revenues for many businesses. To help you understand the need and benefits of having an accessible website, we are hosting a live webinar with industry experts from Air Miles and Siteimprove on 28th July at 1 pm EST. Topic: Improve YourThrough Web Accessibility and Inclusion RSVP: https://qmo.io/events/webinar-improve-your-customer-experience-through-web-accessibility-and-inclusion"
Thu Jul 22 06:07:21 2021,6823326087532027904,Join the Queen of customer experience at our monthly networking event!,15,"Tomorrow, 1:00 PM BST",https://www.linkedin.com/events/6823326087532027904/,"If you want to know how to give your customers the BEST experience of their lives - come and hear how. We have the amazing Victoria Taylor speaking at LinkingOut Club this Friday! Victoria is a brand and CX expert and is the winner of Best End-To-Enddesign consultancy in 2020. Victoria has worked with clients such as Lamborghini, Warner Brothers, Toni & Guy, Aston Martin, Kempinski, P&O cruises and more!"
Thu Jul 22 06:07:21 2021,6820284122070622208,eCommerce Personas: Changing the Game of Online Customer Experience,15,"Today, 4:00 PM CEST",https://www.linkedin.com/events/6820284122070622208/,"In eCommerce, a ""buyer persona"" is a model of a buyer profile around which it is possible to build an imaginary identity and characteristics (surname, first name, age, profession, hobbies, etc.). The goal is to represent the target group of a product or service in order to set up an optimal marketing strategy and offer your different target groups a personalized user experience. So how do you model your personas and how do you use them on a daily basis? Which strategy do you choose to increase online sales by introducing segmentation? How can you use them to optimize segmented campaigns with relevance? Join our webinar to find out how to improve the onlinethrough thoughtful segmentation. In this 30-minute webinar, Digital Growth Consultant Michael Uenk will show you: -The impact of personalization -8 persona types in Retail -Personalization tactics per buying persona -How to turn visitors into buyers Register here to get access to the webinar: https://bit.ly/3e3FmvB"
Thu Jul 22 06:07:21 2021,6816399256283443200,Customer Experience For Financial Services,66,"Thu, Dec 2 - Fri, Dec 3",https://www.linkedin.com/events/6816399256283443200/,"Welcome to Africa's leading CX forum for Financial Services. The world of financial services is undergoing fundamental global changes, the time has come for customer experience and service professionals to shift from talking about change to actioning it. Pandemic crisis has taught most Companies that customer support isn’t just a cost-centre, it’s the face of the business. Industry insiders and CX experts will come together to share expertise inand customer retention at this leading CX Forum. Join us at the financial industry’s most impactful CX conference. Speakers Renier Jansen Van Vuuren, Head of Customer Experience, Momentum Investments Esther Dokuwaaa Ofosuhene, Head Client Experience, GHL Bank Ghana Chukwuma Ibobo, Head Customer Analytics, AXA Mansard Joven Pillay, Partner: Experience Consulting Lead, PwC SA Andrea Prazakova, Senior Vice President Customer Experience, Mastercard Oyedeji Amao, Group Head:Customer Experience, ooba Home Loans"
Thu Jul 22 06:07:21 2021,6787466561927073792,"Customer Experience, Resources, Process Management & Automation Conference",47,"Thu, Mar 17, 9:00 AM EDT",https://www.linkedin.com/events/6787466561927073792/,"After successfully hosting the biggest & most significant annual conferences for the Canadian Telecom & IT Canadian Channel Partners community for six consecutive years, Xeo Marketing and Strategic Consultancy now bring to the market – CXRPMA (Customer Experience, Resource & Process Management and Automation) Channel Partner Conference. This unique conference aims to bring together the Enterprise Resource Planning &software companies & technology vendors and the CRM, ERP and CX Automation channel partner reseller & consultant community. Date: TBD ********** Register: https://bit.ly/3g4H95K If you are interested in sponsoring, request the Sponsorship package at info@xeomarketing.com ********** WHY ATTEND: This is an opportunity for CRM, PRM, ERP and CX channel partner reseller & consultant community to: Consolidate multiple industry-leading software products under one roof so potential partners and resellers can get the information on the latest software options available to them and evaluate each partnership opportunity Discover new technologies, software and solutions that they can either sell as stand-alone solutions or add to their existing portfolio for a more comprehensive customer offering Network with like-minded business leaders working through the same issues as you * New this year: For the very first time, CCP will invite B2B decision-makers to the event, tweaking its usual channel-only focus to accommodate a broader audience. Through this virtual event the B2B software buyers of the ERP, CRM and other similar Enterprise software, will get an opportunity to: Evaluate various available options in a neutral brand-free set-up Gain an understanding of newer technologies and learn best practices on how to make more informed, smarter software decisions Reduce the time required for the research and analysis of the data necessary to shortlist the enterprise software choices for their organizations ********** JOIN THE EVENT VIRTUALLY: Attendees can also join the CXRPMA conference on our virtual event platform. You will be provided with the instruction to create an account and login to access the keynotes, virtual vendor pavilion and virtual networking. Passcodes for networking sessions will be provided prior to the event ONLY to channel partners, resellers and consultants or software companies with paid passes. All networking sessions are private. ********** NOTE: Promotional price is not valid for software companies, industry suppliers, master agents or distributors. Reach out to events@xeomarketing.com to participate in/sponsor this event."
